@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute ~-1 numeric
@attribute ~-2 numeric
@attribute ~-3 numeric
@attribute ~-4 numeric
@attribute ~-5 numeric
@attribute ~-6 numeric
@attribute ~-7 numeric
@attribute ~-8 numeric
@attribute ~-9 numeric
@attribute ~-10 numeric
@attribute ~-11 numeric
@attribute ~-12 numeric
@attribute ~-13 numeric
@attribute ~-14 numeric
@attribute ~-15 numeric
@attribute ~-16 numeric
@attribute ~-17 numeric
@attribute ~-18 numeric
@attribute ~-19 numeric
@attribute ~-20 numeric
@attribute ~-21 numeric
@attribute ~-22 numeric
@attribute ~-23 numeric
@attribute ~-24 numeric
@attribute ~-25 numeric
@attribute ~-26 numeric
@attribute ~-27 numeric
@attribute ~-28 numeric
@attribute ~-29 numeric
@attribute ~-30 numeric
@attribute ~-31 numeric
@attribute ~-32 numeric
@attribute ~-33 numeric
@attribute ~-34 numeric
@attribute ~-35 numeric
@attribute ~-36 numeric
@attribute ~-37 numeric
@attribute ~-38 numeric
@attribute ~-39 numeric
@attribute ~-40 numeric
@attribute ~-41 numeric
@attribute ~-42 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric

@data
2726,'2024/11/28 11:20:06:751',9,0.773948,0.714237,0.675423,0.653406,0.620578,0.716142,0.696057,0.682775,0.674696,0.761977,0.763509,0.765787,0.767867,0.802121,0.820145,0.832532,0.840832,0.837942,0.861518,0.877192,0.888847,0.892613,0.836496,0.743035,0.65593,0.58755,0.585691,0.464811,0.386545,0.31024,0.5696,0.426848,0.331495,0.241299,0.588097,0.460832,0.369313,0.284108,0.629816,0.527695,0.456592,0.386988,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2727,'2024/11/28 11:20:06:783',9,0.77462,0.714389,0.676052,0.654577,0.621639,0.717292,0.697017,0.683375,0.674808,0.76353,0.765227,0.767152,0.76844,0.804216,0.821919,0.834137,0.841915,0.84002,0.863807,0.879241,0.890933,0.901595,0.84401,0.749586,0.662015,0.594498,0.592045,0.470683,0.391443,0.314257,0.575913,0.433343,0.337408,0.247163,0.594679,0.466378,0.374531,0.288627,0.636522,0.533993,0.462569,0.392822,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2728,'2024/11/28 11:20:06:808',9,0.778495,0.718617,0.678813,0.655655,0.622628,0.718957,0.69853,0.684994,0.676359,0.765636,0.7666,0.768861,0.770715,0.806484,0.823815,0.83697,0.845617,0.84235,0.865399,0.881165,0.893423,0.908657,0.851143,0.757077,0.67037,0.600609,0.597791,0.475643,0.397563,0.320444,0.582029,0.438097,0.342072,0.250681,0.60157,0.472891,0.380356,0.293097,0.64426,0.541064,0.469946,0.399527,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2729,'2024/11/28 11:20:06:841',9,0.781888,0.7212,0.683111,0.660948,0.626884,0.722985,0.703513,0.690028,0.681358,0.769853,0.770777,0.773436,0.776036,0.810914,0.830009,0.84246,0.851293,0.847551,0.871738,0.886664,0.898338,0.912074,0.854831,0.759584,0.672347,0.603934,0.601584,0.47865,0.399797,0.322498,0.585687,0.441666,0.34602,0.255653,0.605404,0.476453,0.384288,0.297381,0.648678,0.5472,0.477083,0.407166,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2730,'2024/11/28 11:20:06:873',9,0.785912,0.725953,0.688564,0.666508,0.632729,0.729378,0.710011,0.696445,0.688253,0.776427,0.778691,0.780872,0.782687,0.81724,0.837279,0.85001,0.858828,0.853129,0.878426,0.894693,0.907458,0.917012,0.855014,0.759439,0.672602,0.604456,0.604384,0.483215,0.404456,0.326686,0.589114,0.447134,0.35204,0.262262,0.608388,0.480349,0.3895,0.30418,0.651233,0.549349,0.478961,0.409833,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2731,'2024/11/28 11:20:06:908',9,0.789163,0.729555,0.694453,0.674302,0.640517,0.734332,0.716573,0.70437,0.697221,0.782273,0.786676,0.789894,0.792364,0.823783,0.844736,0.857835,0.867247,0.859898,0.884736,0.900892,0.914103,0.91424,0.852468,0.755974,0.668876,0.601917,0.601904,0.481451,0.402021,0.323482,0.586945,0.445158,0.350253,0.259369,0.608146,0.479258,0.388132,0.301479,0.652788,0.550791,0.479685,0.408902,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2732,'2024/11/28 11:20:06:948',9,0.793991,0.732644,0.698847,0.680749,0.64757,0.740672,0.724571,0.712743,0.705789,0.788923,0.794059,0.798882,0.803324,0.830005,0.850998,0.864783,0.875138,0.866234,0.891782,0.908473,0.922826,0.903567,0.845892,0.749753,0.66224,0.591975,0.594856,0.471821,0.392945,0.314575,0.581356,0.43715,0.341942,0.248992,0.602768,0.473199,0.382603,0.295963,0.646588,0.544131,0.47411,0.404809,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2733,'2024/11/28 11:20:07:006',9,0.798263,0.738887,0.704835,0.686202,0.653653,0.745644,0.7305,0.719957,0.71445,0.794084,0.801301,0.80756,0.813053,0.835544,0.857517,0.87335,0.884605,0.871382,0.897248,0.914751,0.928767,0.897233,0.839915,0.742325,0.653558,0.584494,0.586721,0.463357,0.383011,0.305309,0.572439,0.427227,0.331924,0.241749,0.593777,0.460558,0.367847,0.280071,0.639189,0.536673,0.46675,0.39811,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2734,'2024/11/28 11:20:07:042',9,0.801001,0.74184,0.706396,0.688772,0.656859,0.747839,0.732655,0.722291,0.71729,0.79655,0.804887,0.811827,0.818565,0.838406,0.86065,0.877485,0.890283,0.874351,0.900105,0.918544,0.933758,0.88522,0.82895,0.731947,0.641491,0.571546,0.574805,0.449334,0.368542,0.290578,0.56143,0.416213,0.322334,0.233384,0.583594,0.448564,0.35541,0.267214,0.628655,0.523568,0.452997,0.383536,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2735,'2024/11/28 11:20:07:076',9,0.801319,0.741986,0.705601,0.686864,0.654022,0.747109,0.732152,0.722625,0.718437,0.796305,0.805209,0.812454,0.819355,0.838398,0.86051,0.877821,0.89082,0.874306,0.899906,0.919419,0.935434,0.8739,0.819498,0.719729,0.626978,0.557858,0.562562,0.437402,0.356637,0.278028,0.550102,0.403584,0.307656,0.21672,0.573133,0.439924,0.347036,0.25945,0.618521,0.513086,0.442558,0.373685,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
